job,sex,year,count,perc
Accountant / Auditor,men,1850,708,0.000130960700321
Accountant / Auditor,men,1860,1805,0.000214003690111
Accountant / Auditor,men,1870,1310,9.9778818541e-05
Accountant / Auditor,men,1880,2295,0.000125359945547
Accountant / Auditor,men,1900,11753,0.000395860244257
Accountant / Auditor,men,1910,0,0.0
Accountant / Auditor,men,1920,111209,0.002648560867779
Accountant / Auditor,men,1930,181482,0.003724222132914
Accountant / Auditor,men,1940,0,0.0
Accountant / Auditor,men,1950,330352,0.005438706169022
Accountant / Auditor,men,1960,425002,0.004890279670211
Accountant / Auditor,men,1970,575667,0.00526869370494
Accountant / Auditor,men,1980,661606,0.005148571115604
Accountant / Auditor,men,1990,814842,0.005464129280321
Accountant / Auditor,men,2000,866460,0.005153746569321
Accountant / Auditor,women,1850,0,0.0
Accountant / Auditor,women,1860,0,0.0
Accountant / Auditor,women,1870,0,0.0
Accountant / Auditor,women,1880,0,0.0
Accountant / Auditor,women,1900,807,2.7181078628e-05
Accountant / Auditor,women,1910,0,0.0
Accountant / Auditor,women,1920,15746,0.000375007772968
Accountant / Auditor,women,1930,14657,0.000300778720766
Accountant / Auditor,women,1940,0,0.0
Accountant / Auditor,women,1950,56117,0.000923874758097
Accountant / Auditor,women,1960,112853,0.001298541493033
Accountant / Auditor,women,1970,248441,0.002273813737367
Accountant / Auditor,women,1980,452783,0.003523525293659
Accountant / Auditor,women,1990,949683,0.006368339736198
Accountant / Auditor,women,2000,1217596,0.00724232071627
Actor,men,1850,506,9.3596206727e-05
Actor,men,1860,401,4.7543202069e-05
Actor,men,1870,1507,0.00011478372484
Actor,men,1880,3983,0.000217563687631
Actor,men,1900,10449,0.000351939393537
Actor,men,1910,15867,0.000407589199407
Actor,men,1920,14020,0.000333901243301
Actor,men,1930,28815,0.000591317380015
Actor,men,1940,12428,0.000238856332509
Actor,men,1950,10678,0.000175795831333
Actor,men,1960,10461,0.000120369352685
Actor,men,1970,11726,0.000107320208356
Actor,men,1980,0,0.0
Actor,men,1990,0,0.0
Actor,men,2000,29975,0.000178292769909
Actor,women,1850,0,0.0
Actor,women,1860,100,1.1856160116e-05
Actor,women,1870,200,1.523340741e-05
Actor,women,1880,1994,0.00010891840149
Actor,women,1900,6736,0.000226879486541
Actor,women,1910,14106,0.000362352886295
Actor,women,1920,11001,0.000262000540481
Actor,women,1930,19210,0.000394211586676
Actor,women,1940,8750,0.000168168080902
Actor,women,1950,7067,0.000116346613601
Actor,women,1960,8069,9.284583757e-05
Actor,women,1970,11127,0.000101837963362
Actor,women,1980,0,0.0
Actor,women,1990,0,0.0
Actor,women,2000,25931,0.0001542388596
Advertising Agent,men,1850,0,0.0
Advertising Agent,men,1860,0,0.0
Advertising Agent,men,1870,703,5.354542704900001e-05
Advertising Agent,men,1880,499,2.7256911907000003e-05
Advertising Agent,men,1900,4526,0.000152443075428
Advertising Agent,men,1910,0,0.0
Advertising Agent,men,1920,15437,0.000367648608618
Advertising Agent,men,1930,37913,0.000778018942513
Advertising Agent,men,1940,33554,0.00064488134704
Advertising Agent,men,1950,26603,0.000437974948583
Advertising Agent,men,1960,32275,0.000371371843793
Advertising Agent,men,1970,53993,0.000494161692803
Advertising Agent,men,1980,72865,0.00056703027835
Advertising Agent,men,1990,94797,0.000635685278111
Advertising Agent,men,2000,114250,0.000679564602572
Advertising Agent,women,1850,0,0.0
Advertising Agent,women,1860,0,0.0
Advertising Agent,women,1870,0,0.0
Advertising Agent,women,1880,0,0.0
Advertising Agent,women,1900,0,0.0
Advertising Agent,women,1910,0,0.0
Advertising Agent,women,1920,1414,3.3675917120000005e-05
Advertising Agent,women,1930,4043,8.2967071573e-05
Advertising Agent,women,1940,4883,9.3847398748e-05
Advertising Agent,women,1950,4219,6.9458944783e-05
Advertising Agent,women,1960,8669,9.9749729321e-05
Advertising Agent,women,1970,19544,0.00017887311548
Advertising Agent,women,1980,58594,0.000455974365328
Advertising Agent,women,1990,104742,0.000702373992847
Advertising Agent,women,2000,132581,0.000788598289485
Agent,men,1850,2528,0.000467611088153
Agent,men,1860,4610,0.000546568981392
Agent,men,1870,5930,0.000451670529731
Agent,men,1880,20657,0.001128348756066
Agent,men,1900,19299,0.000650021854328
Agent,men,1910,52647,0.001352388515864
Agent,men,1920,30365,0.000723174839717
Agent,men,1930,54081,0.001109805144147
Agent,men,1940,92566,0.001779045323065
Agent,men,1950,115523,0.001901897529798
Agent,men,1960,146745,0.001688519325097
Agent,men,1970,23236,0.000212663513677
Agent,men,1980,0,0.0
Agent,men,1990,0,0.0
Agent,men,2000,0,0.0
Agent,women,1850,0,0.0
Agent,women,1860,200,2.3712320233e-05
Agent,women,1870,0,0.0
Agent,women,1880,498,2.7202288837e-05
Agent,women,1900,906,3.0515560392e-05
Agent,women,1910,2016,5.1786716203000005e-05
Agent,women,1920,3632,8.6499951188e-05
Agent,women,1930,5562,0.000114138721764
Agent,women,1940,12692,0.00024393020375
Agent,women,1950,23172,0.000381489136886
Agent,women,1960,46524,0.000535327766403
Agent,women,1970,1102,1.0085866417000002e-05
Agent,women,1980,0,0.0
Agent,women,1990,0,0.0
Agent,women,2000,0,0.0
Apprentice,men,1850,3134,0.000579704568937
Apprentice,men,1860,22765,0.002699054850627
Apprentice,men,1870,24010,0.001828770559673
Apprentice,men,1880,20449,0.001116987157515
Apprentice,men,1900,17486,0.000588957051908
Apprentice,men,1910,70527,0.001811687367909
Apprentice,men,1920,17761,0.000422997145668
Apprentice,men,1930,17699,0.000363204105809
Apprentice,men,1940,39638,0.000761811016093
Apprentice,men,1950,30590,0.000503614392255
Apprentice,men,1960,21110,0.000242901924786
Apprentice,men,1970,16425,0.000150327001727
Apprentice,men,1980,4442,3.4567329944e-05
Apprentice,men,1990,1865,1.250622956e-05
Apprentice,men,2000,0,0.0
Apprentice,women,1850,101,1.8682246797e-05
Apprentice,women,1860,1107,0.000131247692494
Apprentice,women,1870,4116,0.000313503524515
Apprentice,women,1880,5585,0.0003050698457
Apprentice,women,1900,5026,0.000169283892422
Apprentice,women,1910,8568,0.000220093543866
Apprentice,women,1920,3428,8.1641473754e-05
Apprentice,women,1930,1517,3.1130607859e-05
Apprentice,women,1940,3081,5.9214383686e-05
Apprentice,women,1950,1072,1.7648729274000002e-05
Apprentice,women,1960,2492,2.8674163740000003e-05
Apprentice,women,1970,1103,1.0095018746e-05
Apprentice,women,1980,1622,1.2622289322e-05
Apprentice,women,1990,405,2.715830011e-06
Apprentice,women,2000,0,0.0
